3
30
4
Flower	sepal_length	sepal_width	petal_length	petal_width
setosa1	5.1	3.5	1.4	0.2
setosa2	4.9	3	1.4	0.2
setosa3	4.7	3.2	1.3	0.2
setosa4	4.6	3.1	1.5	0.2
setosa5	5	3.6	1.4	0.2
setosa6	5.4	3.9	1.7	0.4
setosa7	4.6	3.4	1.4	0.3
setosa8	5	3.4	1.5	0.2
setosa9	4.4	2.9	1.4	0.2
setosa10	4.9	3.1	1.5	0.1
versicolor1	7	3.2	4.7	1.4
versicolor2	6.4	3.2	4.5	1.5
versicolor3	6.9	3.1	4.9	1.5
versicolor4	5.5	2.3	4	1.3
versicolor5	6.5	2.8	4.6	1.5
versicolor6	5.7	2.8	4.5	1.3
versicolor7	6.3	3.3	4.7	1.6
versicolor8	4.9	2.4	3.3	1
versicolor9	6.6	2.9	4.6	1.3
versicolor10	5.2	2.7	3.9	1.4
virginica1	6.3	3.3	6	2.5
virginica2	5.8	2.7	5.1	1.9
virginica3	7.1	3	5.9	2.1
virginica4	6.3	2.9	5.6	1.8
virginica5	6.5	3	5.8	2.2
virginica6	7.6	3	6.6	2.1
virginica7	6.8	3	5.5	2.1
virginica8	7.3	2.9	6.3	1.8
virginica9	6.7	2.5	5.8	1.8
virginica10	7.2	3.6	6.1	2.5
